ItemNo;Description;Module;ItemMainGroup;ItemSubGroup;Stock;Price_B2B;ManufacturerCode;ManufacturerName;ReferenceNumber;GTIN;GrossWeight
HHWE1012;ECOFLOW Shower Kit;BAB GREENVISION;PPS;;6;65,98;ECOFLOW;Ecoflow;EFA-SHOWERKIT;4895251643023;1,86
HHWE1013;ECOFLOW WAVE Series Stabilizing Strap Kit;BAB GREENVISION;PPS;;4;28,93;ECOFLOW;Ecoflow;EFA-WAVE3STRAP;4895251643016;0,301
HHWG1032;Ghd Mini Paddle Brush - schwarz;BABHOME;HW;;500;11,17;GHD;ghd ;99350164194;5060829516477;0,17708
HHWG1040;Ghd Sleek Talker - Haaröl;BABHOME;HW;;182;17,15;GHD;ghd ;99350151476;5060829514640;0,1565
HHWG1042;Ghd Perfect Ending - Final Fix Haarspray;BABHOME;HW;;62;4,87;GHD;ghd ;10000022340;5060356734269;0,083
HHWG1043;Ghd Shiny Ever After - Hitzeschutz Spray;BABHOME;HW;;303;7,31;GHD;ghd ;99280000059;5060356734306;0,11783
HHWG1046;Ghd Dramatic Ending - Haarserum;BABHOME;HW;;157;9,44;GHD;ghd ;99280000058;5060356734290;0,066
HHWG1048;Ghd Body Goals Total Volume - Schaumfestiger;BABHOME;HW;;335;9,44;GHD;ghd ;99280000057;5060356734283;0,29567
HHWG1072;Ghd Duet Style Geschenkset;BABHOME;HW;;151;195,39;GHD;ghd ;99400000111;5056668006842;2,00833
HHWG1079;Ghd Chronos Curve Grand Tong - Lockenstab;BABHOME;HW;;14;125,86;GHD;ghd ;99350173923;5056668002868;1,0125
HHWH0001;HAND Desinfektionsgel MOVE Med+ 100ml;BABHOME;HW;;500;0,51;OHNE;ohne Angabe;4260510498452;4260510498452;0,109
HHWK2005;Kärcher S 4 Twin - Kehrmaschine - 20 L - Kunststoff;BABHOME;HW;;24;92,37;KÄRCHER;Kärcher;1.766-360.0;4054278247939;11,5
HHWK2018;Kärcher AD 2 - Staubsauger - Kanister - beutellos;BABHOME;HW;;30;78,16;KÄRCHER;Kärcher;1.629-711.0;4054278242026;6,45
HHWK2046;Kärcher VC 3 - Staubsauger - Zylinder-Vakuum - Beutellos;BABHOME;HW;;19;83,74;KÄRCHER;Kärcher;1.198-053.0;4054278991726;7,5
HHWK2067;Kärcher SC 2 UPRIGHT - Dampfmopp;BABHOME;HW;;39;74,60;KÄRCHER;Kärcher;1.513-500.0;4054278990279;3,9
HHWK2071;Kärcher Schmutzwasser-Tauchpumpe SP 22.000 750W;BABHOME;HW;;181;99,47;KÄRCHER;Kärcher;1.645-851.0;4054278952031;7,45
HHWK2072;Kärcher Fensterdüse Comfort Zubehör;BABHOME;HW;;68;12,69;KÄRCHER;Kärcher;2.863-336.0;4066529041487;0,164
HHWK2074;Kärcher WV Verlängerungsset Zubehör für Fensterreiniger Kärcher WV;BABHOME;HW;;53;24,36;KÄRCHER;Kärcher;2.633-144;4054278544830;1,1
HHWK2080;Kärcher VCH 4 UVClean;BABHOME;HW;;49;79,17;KÄRCHER;Kärcher;1.198-412.0;4066529180155;3,16
HHWK2081;Kärcher SE 3 Compact Home;BABHOME;HW;;40;123,83;KÄRCHER;Kärcher;1.081-530.0;4066529001580;5,9
HHWK2082;Kärcher Autoreinigungsset Innen NW 35, 7-teilig;BABHOME;HW;;21;33,50;KÄRCHER;Kärcher;2.863-304.0;4054278656342;0,907
HHWK2084;Kärcher Bohrstaubfänger (für WD 2 - WD 6);BABHOME;HW;;43;14,21;KÄRCHER;Kärcher;2.863-234.0;4054278207414;0,30417
HHWK2085;Kärcher PCL 6;BABHOME;HW;;101;167,48;KÄRCHER;Kärcher;1.644-020.0;4066529086884;6,1
HHWK2087;Kärcher Adapter Anti-Twist;BABHOME;HW;;67;13,20;KÄRCHER;Kärcher;2.644-257.0;4054278825779;0,1585
HHWK2089;Kärcher Powerschrubber PS 30 Plus;BABHOME;HW;;62;31,47;KÄRCHER;Kärcher;2.644-212.0;4054278713311;1,273
HHWK2090;Kärcher Reinigungsset für Fassaden und Glasflächen (TLA 4 + Zubehör);BABHOME;HW;;153;90,34;KÄRCHER;Kärcher;2.644-249.0;4054278817514;4,692
HHWK2092;Kärcher WD 4 V-20/5/22 - Staubsauger - Kanister;BABHOME;HW;;32;81,20;KÄRCHER;Kärcher;1.628-209.0;4066529027870;9,6
HHWK2093;Kärcher WD 4 S V-20/5/22 - Staubsauger - Kanister;BABHOME;HW;;2;97,44;KÄRCHER;Kärcher;1.628-260.0;4066529027887;10
HHWK2094;Kärcher WD 4 P V-20/5/22 - Staubsauger - Kanister;BABHOME;HW;;21;106,58;KÄRCHER;Kärcher;1.628-270.0;4066529027894;10
HHWK2095;Kärcher WD 5 V-25/5/22 - Staubsauger - Kanister;BABHOME;HW;;13;111,65;KÄRCHER;Kärcher;1.628-300.0;4054278661872;12
HHWK2096;Kärcher VC 4, 2-in-1-Stabstaubsauger, Beutellos, Schwarz, Gelb, Rechteckig, Trocken, HEPA;BABHOME;HW;;13;117,23;KÄRCHER;Kärcher;1.198-630.0;4054278975375;4,28
HHWK2097;Kärcher VC 6, 2-in-1-Stabstaubsauger, Beutellos, Schwarz, Gelb, Rechteckig, Trocken, HEPA;BABHOME;HW;;17;187,78;KÄRCHER;Kärcher;1.198-670.0;4054278975399;0
HHWK2098;Kärcher SC 1 Multi & Up, Tragbarer Dampfreiniger, 0,2 l, Schwarz, Gelb, 5 m, 1300 W, 220-240 V;BABHOME;HW;;13;65,98;KÄRCHER;Kärcher;1.516-410.0;4054278999159;3,1
HHWM0015;Makita P-73374 - Universal-Bit-Set mit Universalhalter - 31-teilig;BABHOME;DV;;47;7,31;MAKITA;Makita;P-73374;0088381704038;0,267
HHWM0017;Makita B-44410 - Stichsägeblatt-Set A, 10-teilig für Holz, Metall, Kunststoff;BABHOME;DV;;15;11,67;MAKITA;Makita;B-44410;0088381445474;0,2218
HHWM0019;Makita DHK180Z - Meißelhammer, 18V;BABHOME;DV;;2;284,20;MAKITA;Makita;DHK180Z;0088381891424;3,72
